Split,Train Size_Baseline,Test Size_Baseline,Accuracy_Baseline,Macro F1_Baseline,Weighted F1_Baseline,Train Size_Tuned,Test Size_Tuned,Best Alpha,Best Max Features,Accuracy_Tuned,Macro F1_Tuned,Weighted F1_Tuned,Accuracy_Gain,MacroF1_Gain
60_40,355,237,0.9409282700421941,0.9381787250452918,0.9402438392247285,355,237,0.1,3000,0.9704641350210971,0.9648341818774687,0.9705396351708935,0.029535864978902926,0.02665545683217696
70_30,414,178,0.9662921348314607,0.9619799088138615,0.9660851308460461,414,178,0.05,3000,0.9831460674157303,0.9770568429391959,0.9828874779965328,0.016853932584269593,0.015076934125334396
80_20,473,119,0.9663865546218487,0.963997119949599,0.9661161717388878,473,119,0.1,3000,0.9831932773109243,0.9800156365373756,0.9830567678576447,0.01680672268907557,0.016018516587776532
90_10,532,60,0.9666666666666667,0.9571025046129797,0.9659585186357782,532,60,0.1,5000,0.9833333333333333,0.9731225296442687,0.9829380764163372,0.016666666666666607,0.016020025031288965
